,City," ""Region"""," ""Country"""," ""AirQuality"""," ""WaterPollution""",Lat,Lon
91,Dortmund," ""North Rhine-Westphalia"""," ""Germany""",75.0,15.625,51.5142273,7.4652789
92,Ghent," ""Flemish Region"""," ""Belgium""",55.46875,27.67857143,51.0538286,3.7250121
93,Chicago," ""Illinois"""," ""United States of America""",57.43243243,53.62068966,41.8755616,-87.6244212
94,Como," ""Lombardy"""," ""Italy""",58.33333333,40.0,45.939475900000005,9.149410145408947
95,Montevideo," ""Montevideo Department"""," ""Uruguay""",65.78947368,46.75324675,-34.9058916,-56.1913095
96,Tolyatti," ""Samara Oblast"""," ""Russia""",36.11111111,43.75,53.5149884,49.4073316
97,Pittsburgh," ""Pennsylvania"""," ""United States of America""",58.92857143,59.61538462,40.4416941,-79.9900861
98,Philadelphia," ""Pennsylvania"""," ""United States of America""",54.28571429,55.64516129,39.9527237,-75.1635262
99,Kolkata," ""West Bengal"""," ""India""",25.93457944,68.26923077,22.5726459,88.3638953
100,Chennai," ""Tamil Nadu"""," ""India""",35.88435374,73.07017544,13.0836939,80.270186
101,Delhi," """""," ""India""",11.8441358,77.41679873,28.6273928,77.1716954
102,Dhaka," ""Dhaka Division"""," ""Bangladesh""",14.96815287,78.25342466,23.7644025,90.389015
103,Hyderabad," ""Telangana"""," ""India""",31.49253731,70.10703364,17.360589,78.4740613
104,Islamabad," ""Islamabad Capital Territory"""," ""Pakistan""",67.41803279,51.32743363,33.6938118,73.0651511
105,Zagreb," """""," ""Croatia""",69.7740113,26.59883721,45.8130967,15.9772795
106,Genoa," ""Liguria"""," ""Italy""",51.72413793,30.0,44.40726,8.9338624
107,Manila," ""Metro Manila"""," ""Philippines""",17.01570681,83.7431694,14.5906346,120.9799964
108,Quezon City," ""Metro Manila"""," ""Philippines""",23.80952381,80.12820513,14.6508,121.04821
109,Le Mans," """""," ""France""",95.0,50.0,48.0073849,0.1967849
110,Caloocan," ""Metro Manila"""," ""Philippines""",25.0,83.33333333,14.651348,120.9724002
111,Bordeaux," """""," ""France""",68.47826087,42.64705882,44.841225,-0.5800364
112,Buenos Aires," """""," ""Argentina""",54.26470588,54.84375,-34.6075682,-58.4370894
113,Mexico City," """""," ""Mexico""",18.07909605,69.59064327,19.4326296,-99.1331785
114,Tokyo," """""," ""Japan""",61.87150838,37.94117647,35.6840574,139.7744912
115,La Paz," ""La Paz Department"""," ""Bolivia""",27.94117647,79.54545455,-16.4955455,-68.1336229
116,Barcelona," ""Catalonia"""," ""Spain""",35.49723757,51.31578947,41.3828939,2.1774322
117,Makati," ""Metro Manila"""," ""Philippines""",34.21052632,70.94594595,14.5567949,121.0211226
118,Nagpur," ""Maharashtra"""," ""India""",46.61016949,69.44444444,21.1498134,79.0820556
119,Abidjan," """""," ""Cote d'Ivoire""",6.944444444,79.41176471,5.320357,-4.016107
120,Abu Dhabi," ""Emirate of Abu Dhabi"""," ""United Arab Emirates""",55.98290598,37.99019608,24.4538352,54.3774014
121,Athens," ""Attica Region"""," ""Greece""",44.17412141,30.31561462,33.9597677,-83.376398
122,Caracas," ""Capital District"""," ""Venezuela""",43.359375,69.06779661,10.5060934,-66.9146008
123,Pune," ""Maharashtra"""," ""India""",39.10788382,71.86147186,18.521428,73.8544541
124,Guatemala City," ""Guatemala Department"""," ""Guatemala""",39.28571429,69.53125,14.6424667,-90.5131361
125,Havana," ""Havana Province"""," ""Cuba""",46.66666667,50.0,23.135305,-82.3589631
126,Valenzuela," ""Metro Manila"""," ""Philippines""",48.68421053,88.15789474,37.7751808,-4.220174
127,Pasig," ""Metro Manila"""," ""Philippines""",27.94117647,82.69230769,14.5605166,121.0764343
128,Antipolo," """""," ""Philippines""",60.29411765,75.0,14.5871972,121.1759246
129,Osijek," ""Osijek-Baranja County"""," ""Croatia""",83.75,13.33333333,45.5548793,18.6953685
130,Cagayan de Oro," """""," ""Philippines""",62.5,100.0,8.4756417,124.6421532
131,Rijeka," ""Primorje-Gorski Kotar County"""," ""Croatia""",75.0,17.85714286,45.3267976,14.442208
132,Split," ""Split-Dalmatia County"""," ""Croatia""",71.71052632,30.0,43.5116383,16.4399659
133,Butuan," """""," ""Philippines""",37.5,66.66666667,8.9483324,125.5369442
134,Kiel," ""Schleswig-Holstein"""," ""Germany""",93.75,25.0,54.3227085,10.135555
135,Schwerin," ""Mecklenburg-Western Pomerania"""," ""Germany""",87.5,50.0,53.6288297,11.4148038
136,Potsdam," ""Brandenburg"""," ""Germany""",88.63636364,10.71428571,52.4009309,13.0591397
137,Hanover," ""Lower Saxony"""," ""Germany""",75.0,22.91666667,52.3744779,9.7385532
138,D?sseldorf," ""North Rhine-Westphalia"""," ""Germany""",64.81481481,23.91304348,51.233334,6.783333
139,Mainz," ""Rhineland-Palatinate"""," ""Germany""",86.11111111,35.0,50.0012314,8.2762513
140,Wiesbaden," ""Hesse"""," ""Germany""",73.21428571,42.5,50.0820384,8.2416556
141,Dubrovnik," ""Dubrovnik-Neretva County"""," ""Croatia""",87.5,40.0,42.6502473,18.0924947
142,Saarbr?cken," ""Saarland"""," ""Germany""",87.5,12.5,49.233334,7.0
143,Lipa," """""," ""Philippines""",87.5,25.0,13.9414686,121.1642877
144,Munich," ""Bavaria"""," ""Germany""",74.41860465,15.46610169,48.1371079,11.5753822
145,Dresden," ""Saxony"""," ""Germany""",75.0,7.894736842,51.0493286,13.7381437
146,Magdeburg," ""Saxony-Anhalt"""," ""Germany""",93.75,6.25,52.1315889,11.6399609
147,Innsbruck," ""Tyrol"""," ""Austria""",75.0,7.8125,47.2654296,11.3927685
148,Bregenz," ""Vorarlberg"""," ""Austria""",95.0,50.0,47.5025779,9.7472924
149,Vienna," """""," ""Austria""",82.70547945,10.14492754,48.2083537,16.3725042
150,Stockholm," ""Stockholm County"""," ""Sweden""",83.20610687,15.0390625,59.3251172,18.0710935
151,Helsinki," ""Uusimaa"""," ""Finland""",89.88095238,15.49586777,60.1674881,24.9427473
152,Dublin," """""," ""Ireland""",67.02380952,39.70588235,53.3493795,-6.2605593
153,Murmansk," ""Murmansk Oblast"""," ""Russia""",57.14285714,14.28571429,68.970665,33.07497
154,Reykjavik," """""," ""Iceland""",86.68478261,5.113636364,64.145981,-21.9422367
155,Tallinn," ""Harju County"""," ""Estonia""",81.8877551,18.61702128,59.4372155,24.7453688
156,Riga," """""," ""Latvia""",62.5,31.95652174,56.9493977,24.1051846
157,Bratislava," ""Bratislava Region"""," ""Slovakia""",62.32394366,32.46268657,48.15926025,17.139658691421687
158,Budapest," """""," ""Hungary""",40.61032864,32.375,47.4978918,19.0401609
159,Gdansk," ""Pomeranian Voivodeship"""," ""Poland""",45.55555556,45.0,54.3482907,18.6540233
160,Frankfurt," ""Hesse"""," ""Germany""",63.39285714,25.98039216,50.1106444,8.6820917
161,Wroclaw," ""Lower Silesian Voivodeship"""," ""Poland""",25.68807339,35.4368932,51.1089776,17.0326689
162,Kochi," ""Kerala"""," ""India""",36.5625,68.40277778,9.9674277,76.2454436
163,Baguio," ""Cordillera Administrative Region"""," ""Philippines""",26.88679245,66.4893617,16.4119955,120.593371
164,Kaliningrad," ""Kaliningrad Oblast"""," ""Russia""",55.0,55.0,54.70464845,20.456566646621738
165,Luxembourg," """""," ""Luxembourg""",83.10810811,20.45454545,49.6112768,6.129799
166,Vaduz," """""," ""Liechtenstein""",100.0,0.0,47.1392862,9.5227962
167,San Marino," """""," ""San Marino""",87.5,50.0,43.9458623,12.458306
168,Phnom Penh," """""," ""Cambodia""",26.06382979,70.83333333,11.5730391,104.857807
169,Arkhangelsk," ""Arkhangelsk Oblast"""," ""Russia""",43.75,50.0,64.543022,40.537121
170,Ho Chi Minh City," """""," ""Vietnam""",12.21910112,77.76162791,10.7763897,106.7011391
171,Hanoi," """""," ""Vietnam""",15.70247934,77.35042735,21.0283334,105.854041
172,Bangkok," """""," ""Thailand""",26.85185185,70.83333333,13.8245796,100.6224463
173,Andorra la Vella," ""Andorra la Vella"""," ""Andorra""",37.5,25.0,42.5069391,1.5212467
174,Kuala Lumpur," """""," ""Malaysia""",39.43452381,65.68322981,3.1516964,101.6942371
175,Taipei," """""," ""Taiwan""",52.47933884,44.87179487,25.0375198,121.5636796
176,Odessa," ""Odessa Oblast"""," ""Ukraine""",50.5,58.85416667,46.4843023,30.7322878
177,Concepcion," ""Biobio Region"""," ""Chile""",55.76923077,33.33333333,-36.8270795,-73.0502399
178,Bologna," ""Emilia-Romagna"""," ""Italy""",38.15789474,28.03030303,44.4938203,11.3426327
179,Petrozavodsk," ""Karelia"""," ""Russia""",58.33333333,25.0,61.7900426,34.390007
180,Cagliari," ""Sardinia"""," ""Italy""",71.05263158,20.0,39.2171994,9.113311
181,Catania," ""Sicily"""," ""Italy""",46.42857143,55.55555556,37.5023612,15.0873718
182,Caserta," ""Campania"""," ""Italy""",34.375,56.25,41.20351925,14.116862382970815
183,Ottawa," ""Ontario"""," ""Canada""",84.56375839,27.99295775,45.4208777,-75.6901106
184,Juba," """""," ""South Sudan""",62.5,75.0,4.8459246,31.5959173
185,Yerevan," """""," ""Armenia""",41.81034483,35.0,40.1777112,44.5126233
186,Vologda," ""Vologda Oblast"""," ""Russia""",62.5,25.0,60.0391461,43.1215213
187,Dar es Salaam," ""Dar es Salaam Region"""," ""Tanzania""",46.875,76.0,-6.8160837,39.2803583
188,Khartoum," ""Khartoum"""," ""Sudan""",42.85714286,78.125,15.5635972,32.5349123
189,Verona," ""Veneto"""," ""Italy""",36.11111111,42.85714286,45.4384958,10.9924122
190,Iqaluit," ""Nunavut"""," ""Canada""",50.0,50.0,63.7492738,-68.5213763
191,Florence," ""Tuscany"""," ""Italy""",52.67857143,36.0,43.7698712,11.2555757
192,Whitehorse," ""Yukon"""," ""Canada""",92.5,12.5,60.721571,-135.054932
193,Yellowknife," ""Northwest Territories"""," ""Canada""",87.5,43.75,62.4540807,-114.377385
194,Essen," ""North Rhine-Westphalia"""," ""Germany""",80.0,4.166666667,51.4582235,7.0158171
195,Leipzig," ""Saxony"""," ""Germany""",84.21052632,20.0,51.3406321,12.3747329
196,St. John's," ""Newfoundland and Labrador"""," ""Canada""",90.625,35.41666667,47.5614705,-52.7126162
197,Nuremberg," ""Bavaria"""," ""Germany""",75.0,12.5,49.453872,11.077298
