,City," ""Region"""," ""Country"""," ""AirQuality"""," ""WaterPollution""",Lat,Lon
2109,Santa Marta," ""Magdalena Department"""," ""Colombia""",50.0,71.42857143,11.2320944,-74.1950916
2110,Toluca," ""State of Mexico"""," ""Mexico""",25.0,41.66666667,19.292545,-99.6569007
2111,Torquay," ""England"""," ""United Kingdom""",56.25,37.5,50.4652392,-3.5211361
2112,Burnley," ""England"""," ""United Kingdom""",37.5,25.0,53.7907262,-2.2439196
2113,Ennis," """""," ""Ireland""",100.0,50.0,52.8435152,-8.983747
2114,Oxnard," ""California"""," ""United States of America""",95.0,0.0,34.1976308,-119.1803818
2115,East London," ""Eastern Cape"""," ""South Africa""",70.83333333,58.33333333,-33.0191604,27.8998573
2116,Kolhapur," ""Maharashtra"""," ""India""",52.88461538,69.04761905,16.7028412,74.2405329
2117,Sagamihara," ""Kanagawa Prefecture"""," ""Japan""",75.0,50.0,35.56559,139.236215
2118,Biala Podlaska," ""Lublin Voivodeship"""," ""Poland""",50.0,50.0,52.029031849999996,23.14940947957289
2119,Edessa," """""," ""Greece""",100.0,0.0,37.2595198,39.0408174
2120,Ambato," ""Tungurahua Province"""," ""Ecuador""",72.22222222,75.0,-1.2422413,-78.6287594
2121,Yozgat," ""Yozgat Province"""," ""Turkey""",25.0,50.0,39.7152422,35.170998
2122,Xanthi," """""," ""Greece""",100.0,35.0,41.1380289,24.8862688
2123,Beihai," ""Guangxi"""," ""People's Republic of China""",21.875,75.0,21.6740808,109.3729721
2124,Katerini," """""," ""Greece""",37.5,37.5,40.2713616,22.5087618
2125,Yantai," ""Shandong"""," ""People's Republic of China""",20.83333333,50.0,37.461928,121.4425255
2126,Ubud," ""Bali"""," ""Indonesia""",50.0,25.0,-8.5068977,115.2622931
2127,Livadeia," ""Central Greece Region"""," ""Greece""",62.5,50.0,41.2553796,23.0721295
2128,Villahermosa," ""Tabasco"""," ""Mexico""",56.25,43.75,18.0018152,-92.9330401483751
2129,Chelmsford," ""England"""," ""United Kingdom""",62.5,12.5,51.7345329,0.4730532
2130,Imatra," """""," ""Finland""",91.66666667,0.0,61.1923342,28.7716996
2131,Roeselare," ""Flemish Region"""," ""Belgium""",75.0,50.0,50.9444948,3.124765
2132,Johvi," ""Ida-Viru County"""," ""Estonia""",100.0,50.0,59.3579433,27.4135654
2133,Yinchuan," ""Ningxia"""," ""People's Republic of China""",0.0,50.0,38.4852037,106.2261926
2134,Beira," ""Sofala"""," ""Mozambique""",0.0,100.0,-19.828707,34.841782
2135,Carlow," ""Leinster"""," ""Ireland""",58.33333333,41.66666667,52.69078865,-6.825145150844913
2136,Bayburt," ""Bayburt Province"""," ""Turkey""",100.0,0.0,40.2023027,40.2121599
2137,Oshawa," ""Ontario"""," ""Canada""",84.09090909,32.14285714,43.8975558,-78.8635324
2138,Slough," ""England"""," ""United Kingdom""",35.71428571,60.0,51.5111014,-0.5940682
2139,Dunfermline," ""Scotland"""," ""United Kingdom""",100.0,0.0,56.0713724,-3.4616183
2140,Kusadasi," ""Aydin Province"""," ""Turkey""",25.0,100.0,37.8632398,27.266873
2141,Entebbe," """""," ""Uganda""",50.0,75.0,0.0611715,32.4698564
2142,Palmerston North," """""," ""New Zealand""",95.83333333,32.14285714,-40.356317,175.6112388
2143,Arak," ""Markazi Province"""," ""Iran""",2.272727273,67.85714286,9.287134049999999,8.33725787431456
2144,Lushnje," ""Fier County"""," ""Albania""",0.0,100.0,40.9422038,19.7059724
2145,Shariff Aguak," """""," ""Philippines""",25.0,0.0,6.8610172,124.4444871
2146,Antigua Guatemala," ""Sacatepequez Department"""," ""Guatemala""",32.14285714,53.57142857,14.5567814,-90.7337346
2147,West Bromwich," ""England"""," ""United Kingdom""",50.0,0.0,52.5186579,-1.9923114
2148,Drama," """""," ""Greece""",100.0,25.0,40.2149642,28.3599186
2149,Wadowice," ""Lesser Poland Voivodeship"""," ""Poland""",30.0,0.0,49.8834484,19.4925345
2150,New Plymouth," """""," ""New Zealand""",95.0,15.0,-39.0579941,174.0806474
2151,Santa Rosa," ""California"""," ""United States of America""",81.25,29.54545455,38.4404925,-122.7141049
2152,Akola," ""Maharashtra"""," ""India""",31.52173913,62.5,20.76181225,77.1921156663574
2153,Bareilly," ""Uttar Pradesh"""," ""India""",45.83333333,48.52941176,28.416667,79.383333
2154,Elva," ""Tartu County"""," ""Estonia""",100.0,8.333333333,44.5405393,7.0904585
2155,Maidstone," ""England"""," ""United Kingdom""",12.5,50.0,51.2748258,0.5231646
2156,Darlington," ""England"""," ""United Kingdom""",100.0,0.0,54.5242081,-1.5555812
2157,Barcelos," ""Braga"""," ""Portugal""",100.0,50.0,41.5314496,-8.6192306
2158,Tirunelveli," """""," ""India""",55.55555556,75.0,8.8082342,77.8114843
2159,Amagasaki," ""Hyogo Prefecture"""," ""Japan""",100.0,0.0,34.7288995,135.412989
2160,Rapid City," ""South Dakota"""," ""United States of America""",92.5,37.5,44.0806041,-103.228023
2161,Tralee," """""," ""Ireland""",91.66666667,8.333333333,52.2692116,-9.7057047
2162,Guildford," ""England"""," ""United Kingdom""",67.85714286,39.28571429,51.2356068,-0.5732063
2163,Aylesbury," ""England"""," ""United Kingdom""",58.33333333,25.0,51.8161412,-0.8130383
2164,Binghamton," ""New York"""," ""United States of America""",62.5,62.5,42.098698,-75.9125187
2165,Dudley," ""England"""," ""United Kingdom""",100.0,0.0,52.5110832,-2.0816813
2166,Bellevue," ""Washington"""," ""United States of America""",94.23076923,19.44444444,47.6144219,-122.192337
2167,Trujillo," ""La Libertad"""," ""Peru""",50.0,37.5,39.4605657,-5.8816626
2168,Kocani," ""Kocani Municipality"""," ""North Macedonia""",12.5,50.0,44.3620036,18.6069824
2169,Kisumu," """""," ""Kenya""",100.0,0.0,-0.1029109,34.7541761
2170,Panaji," ""Goa"""," ""India""",25.0,50.0,15.4989946,73.8282141
2171,Lohja," ""Uusimaa"""," ""Finland""",100.0,50.0,60.2526036,24.0684575
2172,Kazincbarcika," ""Borsod-Abauj-Zemplen County"""," ""Hungary""",50.0,50.0,48.2544414,20.6223251
2173,Znojmo," """""," ""Czech Republic""",87.5,50.0,48.8554341,16.0489457
2174,Jaffna," ""Northern Province"""," ""Sri Lanka""",53.57142857,53.57142857,9.665093,80.0093029
2175,Lomza," ""Podlaskie Voivodeship"""," ""Poland""",75.0,50.0,53.18243065,22.052183817808846
2176,Slobozia," ""Ialomi?a County"""," ""Romania""",25.0,75.0,44.5635999,27.3618477
2177,Warrington," ""England"""," ""United Kingdom""",75.0,25.0,53.4018582,-2.5680223597163048
2178,Xiangtan," ""Hunan"""," ""People's Republic of China""",0.0,50.0,27.681864,112.626292
2179,Harrogate," ""England"""," ""United Kingdom""",75.0,6.25,53.9921491,-1.5391039
2180,Rapla," ""Rapla County"""," ""Estonia""",100.0,50.0,58.99921345,24.804658825202406
2181,Husavik," """""," ""Iceland""",50.0,50.0,50.5623175,-96.9948378
2182,Fayetteville," ""Arkansas"""," ""United States of America""",94.44444444,20.0,36.0625843,-94.1574328
2183,El Jadida," ""Casablanca-Settat"""," ""Morocco""",15.0,65.0,33.2336952,-8.500424800741666
2184,Macon," ""Georgia"""," ""United States of America""",60.0,50.0,32.8406946,-83.6324022
2185,Montana," ""Montana Province"""," ""Bulgaria""",20.0,50.0,47.3752671,-109.638757
2186,Kuching," ""Sarawak"""," ""Malaysia""",61.9047619,61.66666667,1.5574127,110.3439862
2187,Walvis Bay," ""Erongo Region"""," ""Namibia""",25.0,58.33333333,-22.9557607,14.5071125
2188,Xalapa," ""Veracruz"""," ""Mexico""",62.5,18.75,19.5408338,-96.9146374
2189,Cugir," ""Alba County"""," ""Romania""",100.0,25.0,45.8362888,23.3740955
2190,Vinkovci," ""Vukovar-Syrmia County"""," ""Croatia""",100.0,0.0,45.2883771,18.8045248
2191,Comodoro Rivadavia," ""Chubut Province"""," ""Argentina""",85.71428571,58.33333333,-45.8632024,-67.4752615
2192,Walla Walla," ""Washington"""," ""United States of America""",100.0,0.0,46.2055155,-118.5174284
2193,Ibague," ""Tolima Department"""," ""Colombia""",56.61764706,79.04411765,4.43917,-75.2113267
2194,Casper," ""Wyoming"""," ""United States of America""",100.0,33.33333333,42.8501191,-106.325138
2195,Tivat," ""Tivat Municipality"""," ""Montenegro""",65.0,50.0,42.4303762,18.6988104
2196,Mansoura," """""," ""Egypt""",37.5,70.0,35.8398964,38.7448296
2197,Redmond," ""Washington"""," ""United States of America""",87.5,33.33333333,47.6694141,-122.1238767
2198,Piura," ""Piura"""," ""Peru""",25.0,75.0,-5.0,-80.333333
2199,Johor Bahru," ""Johor"""," ""Malaysia""",50.0,56.25,1.503555,103.7495586
2200,Geelong," ""Victoria"""," ""Australia""",83.33333333,23.80952381,-38.1493248,144.3598241
2201,Kelowna," ""British Columbia"""," ""Canada""",79.87804878,32.43243243,49.8879177,-119.495902
2202,Peoria," ""Illinois"""," ""United States of America""",96.875,29.16666667,40.6938609,-89.5891008
2203,Gisborne," """""," ""New Zealand""",0.0,75.0,-38.661326,178.0206487
2204,Aberdeen," ""Washington"""," ""United States of America""",100.0,0.0,57.1482429,-2.0928095
2205,Rockford," ""Illinois"""," ""United States of America""",60.71428571,60.0,42.2713945,-89.093966
2206,Vancouver," ""Washington"""," ""United States of America""",73.07692308,29.80769231,49.2608724,-123.113952
2207,Erie," ""Pennsylvania"""," ""United States of America""",80.0,100.0,42.1294712,-80.0852695
2208,Chelm," ""Lublin Voivodeship"""," ""Poland""",50.0,50.0,51.1339221,23.4711548
2209,Hollywood," ""Florida"""," ""United States of America""",100.0,37.5,34.0980031,-118.329523
2210,Al Ain," ""Emirate of Abu Dhabi"""," ""United Arab Emirates""",44.79166667,38.88888889,24.2248697,55.7452211
2211,Suwalki," ""Podlaskie Voivodeship"""," ""Poland""",87.5,50.0,54.0990636,22.9279363
2212,Aberdeen," ""South Dakota"""," ""United States of America""",50.0,83.33333333,57.1482429,-2.0928095
2213,Tunja," ""Boyaca Department"""," ""Colombia""",100.0,75.0,5.5324313,-73.3616014
2214,Solapur," ""Maharashtra"""," ""India""",20.83333333,73.07692308,17.84990665,75.27632027348457
2215,Reading," ""Pennsylvania"""," ""United States of America""",87.5,50.0,51.4564242,-0.9700664
2216,Brunswick," ""Vermont"""," ""United States of America""",100.0,37.5,34.0718195,-78.1914215
2217,Nakuru," """""," ""Kenya""",75.0,25.0,-0.2802724,36.0712048
2218,Kitwe," ""Copperbelt Province"""," ""Zambia""",0.0,100.0,-12.8104186,28.2068361
2219,Columbus," ""Georgia"""," ""United States of America""",82.5,45.0,39.9622601,-83.0007065
2220,Mission," ""Texas"""," ""United States of America""",100.0,0.0,26.2159066,-98.3252932
2221,Bauru," ""Sao Paulo"""," ""Brazil""",58.33333333,50.0,-22.3218102,-49.0705863
2222,Plasencia," ""Extremadura"""," ""Spain""",75.0,50.0,40.029921,-6.090168
2223,Huntington," ""West Virginia"""," ""United States of America""",75.0,25.0,38.4192496,-82.445154
2224,Kingsport," ""Tennessee"""," ""United States of America""",56.25,93.75,36.550238,-82.5594293
2225,Givet," """""," ""France""",100.0,50.0,50.1362582,4.8248698
2226,Bhilai," ""Chhattisgarh"""," ""India""",34.82142857,55.68181818,21.2120677,81.3732849
2227,Abeche," ""Ouaddai Region"""," ""Chad""",62.5,37.5,13.8280295,20.8283652
2228,Sremska Mitrovica," """""," ""Serbia""",75.0,12.5,44.9701654,19.6124132
2229,Ponta Grossa," ""Parana"""," ""Brazil""",62.5,37.5,-25.0891685,-50.1601812
2230,Bhavnagar," ""Gujarat"""," ""India""",61.36363636,61.9047619,21.7718836,72.1416449
2231,Jhansi," ""Uttar Pradesh"""," ""India""",47.82608696,69.73684211,25.354864550000002,78.42564420838272
2232,Naperville," ""Illinois"""," ""United States of America""",83.33333333,12.5,41.7728699,-88.1479278
2233,Morogoro," """""," ""Tanzania""",66.66666667,100.0,-7.0842931,37.4232686
2234,Gujranwala," ""Punjab"""," ""Pakistan""",18.05555556,54.41176471,32.1525312,74.1933745
2235,Khulna," ""Khulna Division"""," ""Bangladesh""",45.83333333,39.28571429,22.9372087,89.2852741
2236,Changwon," ""South Gyeongsang"""," ""South Korea""",31.25,75.0,35.227956,128.6818586
2237,Bucaramanga," ""Santander Department"""," ""Colombia""",40.0,25.0,7.16698415,-73.1047294009737
2238,Nishinomiya," ""Hyogo Prefecture"""," ""Japan""",62.5,50.0,34.7386033,135.3394138
2239,Setif," ""Setif Province"""," ""Algeria""",50.0,100.0,36.1895852,5.4024656
2240,Burnaby," ""British Columbia"""," ""Canada""",77.77777778,41.07142857,49.2433804,-122.972545
2241,Clearwater," ""Florida"""," ""United States of America""",85.71428571,35.71428571,27.9658533,-82.8001026
2242,Dhanbad," ""Jharkhand"""," ""India""",20.19230769,64.13043478,23.7952809,86.4309638
2243,Bani Walid," ""Misrata District"""," ""Libya""",100.0,50.0,31.4668181,14.4931333
2244,Tabuk," ""Tabuk Province"""," ""Saudi Arabia""",50.0,25.0,28.3251866,37.6328648
2245,Taichung," """""," ""Taiwan""",22.79411765,75.79365079,24.163162,120.6478282
2246,Lewes," ""England"""," ""United Kingdom""",100.0,0.0,50.8746139,0.005115324110936268
2247,Wuwei," ""Gansu"""," ""People's Republic of China""",0.0,50.0,37.928881,102.6359886
2248,Traralgon," ""Victoria"""," ""Australia""",75.0,50.0,-38.1946441,146.5382327
2249,Olaine," ""Olaine Municipality"""," ""Latvia""",100.0,0.0,56.7905906,23.9331981
2250,Keelung," ""Taiwan Province"""," ""Taiwan""",50.0,50.0,25.1317232,121.744652
2251,Bharatpur," ""Bagmati"""," ""Nepal""",87.5,12.5,27.6879749,84.43367652680118
2252,Sochaczew," ""Masovian Voivodeship"""," ""Poland""",37.5,50.0,52.2367219,20.25712361363545
2253,Bad Ischl," ""Upper Austria"""," ""Austria""",85.0,50.0,47.7115299,13.6239333
2254,Knysna," ""Western Cape"""," ""South Africa""",100.0,25.0,-34.035734,23.048485
2255,Amstetten," ""Lower Austria"""," ""Austria""",62.5,50.0,48.0999102,14.82592060463179
2256,Vocklabruck," ""Upper Austria"""," ""Austria""",100.0,50.0,48.0078587,13.6460378
2257,Gaya," ""Bihar"""," ""India""",0.0,50.0,24.7964355,85.0079563
2258,Simbach am Inn," ""Bavaria"""," ""Germany""",100.0,50.0,48.2663113,13.0279972
2259,Clifton," ""New Jersey"""," ""United States of America""",100.0,0.0,40.8584328,-74.1637553
2260,Jammu," ""Jammu and Kashmir"""," ""India""",44.76744186,62.82051282,32.7185614,74.8580917
2261,Hallein," ""Salzburg"""," ""Austria""",100.0,50.0,47.6821521,13.0956313
2262,Abensberg," ""Bavaria"""," ""Germany""",100.0,50.0,48.8332409,11.8570782
2263,Bunbury," ""Western Australia"""," ""Australia""",100.0,0.0,-33.3267797,115.636698
2264,Mittersill," ""Salzburg"""," ""Austria""",50.0,50.0,47.2815157,12.4837012
2265,Naples," ""Florida"""," ""United States of America""",80.76923077,30.76923077,40.8358846,14.2487679
2266,Bruck an der Mur," ""Styria"""," ""Austria""",75.0,50.0,47.4121987,15.2721668
2267,Traun," ""Upper Austria"""," ""Austria""",87.5,50.0,48.2214369,14.2368078
2268,Steyr," ""Upper Austria"""," ""Austria""",100.0,50.0,48.0390046,14.4191276
2269,Chiclayo," ""Lambayeque"""," ""Peru""",50.0,50.0,-6.7716146,-79.8387175
2270,Karaman," ""Karaman Province"""," ""Turkey""",20.0,0.0,37.1796848,33.3383665
2271,Ozamiz," """""," ""Philippines""",87.5,50.0,8.1470175,123.8459793
2272,Baniyas," ""Tartus Governorate"""," ""Syria""",25.0,91.66666667,35.1820319,35.9449068
2273,Trowbridge," ""England"""," ""United Kingdom""",0.0,100.0,51.31614545,-2.202432312992854
2274,Yongzhou," ""Hunan"""," ""People's Republic of China""",0.0,50.0,26.423568,111.6081495
2275,Aurora," ""Ontario"""," ""Canada""",50.0,37.5,41.7571701,-88.3147539
2276,Newport Beach," ""California"""," ""United States of America""",93.75,25.0,33.6170092,-117.9294401
2277,Dhahran," ""Eastern Province"""," ""Saudi Arabia""",40.625,40.625,26.2966528,50.1202146
2278,Buchanan," ""Grand Bassa County"""," ""Liberia""",0.0,50.0,39.6733203,-94.794829
2279,Amravati," ""Maharashtra"""," ""India""",36.25,59.61538462,21.15454115,77.64429617998744
2280,Belgaum," ""Karnataka"""," ""India""",46.71052632,82.43243243,15.8572666,74.5069343
2281,Lethbridge," ""Alberta"""," ""Canada""",68.75,36.36363636,49.6945782,-112.8331033
2282,Contagem," ""Minas Gerais"""," ""Brazil""",50.0,75.0,-19.9132749,-44.0840953
2283,Scranton," ""Pennsylvania"""," ""United States of America""",92.85714286,41.66666667,41.4086874,-75.6621294
2284,Ipoh," ""Perak"""," ""Malaysia""",61.11111111,50.0,4.5986817,101.0900236
2285,Abbotsford," ""British Columbia"""," ""Canada""",64.28571429,36.45833333,49.0521162,-122.329479
2286,Moshi," ""Kilimanjaro Region"""," ""Tanzania""",75.0,0.0,-3.3486456,37.3435249
2287,Tanta," ""Gharbia Governorate"""," ""Egypt""",37.5,80.0,30.7833666,30.9982536
2288,Turnhout," ""Flemish Region"""," ""Belgium""",75.0,50.0,51.3286495,4.929594325676078
2289,Makarska," ""Split-Dalmatia County"""," ""Croatia""",100.0,0.0,43.2939756,17.020242
2290,Sanandaj," ""Kurdistan Province"""," ""Iran""",3.571428571,83.33333333,35.3126047,46.9978639
2291,Haridwar," ""Uttarakhand"""," ""India""",71.875,53.125,29.9384473,78.1452985
2292,Cascais," ""Lisbon"""," ""Portugal""",78.125,41.66666667,38.72240025,-9.396909171649877
2293,Tsukuba," ""Ibaraki Prefecture"""," ""Japan""",100.0,25.0,36.0833265,140.077279
2294,Santarem," ""Santarem"""," ""Portugal""",95.0,50.0,39.2363637,-8.6867081
2295,Niagara Falls," ""Ontario"""," ""Canada""",83.33333333,43.75,43.08436,-79.0614686
2296,San Pedro Sula," ""Cortes Department"""," ""Honduras""",28.57142857,67.85714286,15.493638650000001,-88.00776696107931
2297,Jundiai," ""Sao Paulo"""," ""Brazil""",67.85714286,5.0,-23.1887668,-46.884506
2298,Massawa," ""Northern Red Sea Region"""," ""Eritrea""",100.0,25.0,15.6031828,39.4636974
2299,Caldas da Rainha," ""Leiria"""," ""Portugal""",50.0,50.0,39.4071857,-9.1346004
2300,Volta Redonda," ""Rio de Janeiro"""," ""Brazil""",50.0,50.0,-22.521856,-44.1040128
2301,Nove Zamky," ""Nitra Region"""," ""Slovakia""",75.0,0.0,47.9861843,18.1631415
2302,Hajnowka," ""Podlaskie Voivodeship"""," ""Poland""",62.5,50.0,52.731735549999996,23.571247984159466
2303,Karaikal," ""Puducherry"""," ""India""",50.0,50.0,10.91571,79.8375761
2304,Azaz," ""Aleppo Governorate"""," ""Syria""",8.333333333,50.0,36.5864441,37.0464305
2305,Modling," ""Lower Austria"""," ""Austria""",87.5,50.0,48.0855922,16.2833526
2306,Noida," ""Uttar Pradesh"""," ""India""",11.48255814,82.63473054,28.5706333,77.3272147
2307,Coonoor," ""Tamil Nadu"""," ""India""",87.5,45.0,11.322330950000001,76.77480204343982
2308,David," ""Chiriqui Province"""," ""Panama""",80.0,30.0,8.49443135,-82.48176201002482
2309,Teixeira de Freitas," ""Bahia"""," ""Brazil""",25.0,100.0,-17.5384774,-39.7451701
2310,Albany," ""Georgia"""," ""United States of America""",75.0,16.66666667,42.6511674,-73.754968
2311,Duluth," ""Georgia"""," ""United States of America""",50.0,0.0,46.7729322,-92.1251218
2312,Blacksburg," ""Virginia"""," ""United States of America""",75.0,0.0,37.2296566,-80.4136767
2313,Newport," ""New Hampshire"""," ""United States of America""",100.0,0.0,41.4899827,-71.3137707
2314,Sharjah," ""Emirate of Sharjah"""," ""United Arab Emirates""",54.41176471,36.76470588,25.3461498,55.4210633
2315,Rio Claro," ""Sao Paulo"""," ""Brazil""",25.0,50.0,-22.4100108,-47.5603933
2316,Valsad," ""Gujarat"""," ""India""",75.0,75.0,20.5,73.083333
2317,Muonio," """""," ""Finland""",100.0,0.0,67.9593397,23.6774037
2318,Kakamega," """""," ""Kenya""",100.0,75.0,0.4957104,34.801548861634615
2319,Middletown," ""New York"""," ""United States of America""",100.0,25.0,41.5623178,-72.6509061
2320,Daqing," ""Heilongjiang"""," ""People's Republic of China""",12.5,50.0,46.3240228,124.5598093
2321,Abastumani," ""Samtskhe-Javakheti"""," ""Georgia""",62.5,50.0,41.7532909,42.8319445
2322,Al Wakrah," """""," ""Qatar""",14.28571429,25.0,25.1566623,51.6013212
2323,Witbank," ""Mpumalanga"""," ""South Africa""",16.25,98.4375,-23.430958850000003,17.165540904378428
2324,Boston," ""England"""," ""United Kingdom""",62.5,25.0,42.3554334,-71.060511
2325,Naga," """""," ""Philippines""",70.0,45.0,13.6240122,123.1850318
2326,Joplin," ""Missouri"""," ""United States of America""",79.16666667,18.75,37.0841838,-94.5133385
2327,Bojnord," ""North Khorasan Province"""," ""Iran""",0.0,50.0,37.4759752,57.3319881
2328,Bahawalpur," """""," ""Pakistan""",75.0,60.0,31.029535,75.0091934
2329,Vilvoorde," ""Flemish Region"""," ""Belgium""",75.0,50.0,50.928711,4.423126
2330,Gospic," ""Lika-Senj County"""," ""Croatia""",100.0,0.0,44.5464046,15.375421
2331,Galle," ""Southern Province"""," ""Sri Lanka""",75.0,37.5,6.0328139,80.214955
2332,Sanya," ""Hainan"""," ""People's Republic of China""",70.0,0.0,18.2534658,109.5034392
2333,Siedlce," ""Masovian Voivodeship"""," ""Poland""",46.42857143,50.0,51.3997099,16.3046036
2334,San Juan de Pasto," ""Narino Department"""," ""Colombia""",70.0,75.0,1.2140275,-77.2785096
2335,Lancaster," ""Pennsylvania"""," ""United States of America""",66.66666667,45.0,40.08067,-76.2411283
2336,Pocatello," ""Idaho"""," ""United States of America""",83.33333333,87.5,42.8620287,-112.450627
2337,Bata," """""," ""Equatorial Guinea""",25.0,25.0,1.869189,9.7720137
2338,Novo Hamburgo," ""Rio Grande do Sul"""," ""Brazil""",87.5,0.0,-29.6905705,-51.1429035
2339,Abingdon-on-Thames," ""England"""," ""United Kingdom""",100.0,50.0,51.6714842,-1.2779715
2340,Kollam," ""Kerala"""," ""India""",75.0,44.11764706,8.8879509,76.5955013
2341,Valkeakoski," """""," ""Finland""",100.0,50.0,61.2637921,24.0301278
2342,Rajshahi," ""Rajshahi Division"""," ""Bangladesh""",47.22222222,30.0,24.3715513,88.5921038
2343,Brcko," ""Brcko District"""," ""Bosnia and Herzegovina""",25.0,87.5,44.8771222,18.8095022
2344,Simi Valley," ""California"""," ""United States of America""",82.14285714,25.0,34.2677404,-118.7538071
2345,Fairfield," ""California"""," ""United States of America""",87.5,37.5,39.7886111,-82.6418883
2346,Prijedor," ""Republika Srpska"""," ""Bosnia and Herzegovina""",75.0,25.0,44.9805039,16.7131197
2347,Guarapuava," ""Parana"""," ""Brazil""",100.0,0.0,-25.3950986,-51.4622016
2348,Bangor," ""Maine"""," ""United States of America""",87.5,12.5,44.8016255,-68.7713289
2349,Rockville," ""Maryland"""," ""United States of America""",87.5,50.0,39.0817985,-77.1516844
2350,Mount Gambier," ""South Australia"""," ""Australia""",83.33333333,0.0,-37.8246698,140.78195963207457
2351,Laramie," ""Wyoming"""," ""United States of America""",100.0,0.0,41.311367,-105.591101
2352,Almada," ""Setubal"""," ""Portugal""",85.71428571,50.0,38.6831302,-9.1576301
2353,Armenia," ""Quindio Department"""," ""Colombia""",62.5,37.5,4.491976149999999,-75.74135085294314
2354,Okinawa," ""Okinawa Prefecture"""," ""Japan""",80.55555556,40.0,26.5707754,128.0255901
2355,Nuevo Laredo," ""Tamaulipas State"""," ""Mexico""",37.5,68.75,27.4950571,-99.5074431
2356,Parkersburg," ""West Virginia"""," ""United States of America""",0.0,100.0,39.2667309,-81.5620755
2357,Kalgoorlie," ""Western Australia"""," ""Australia""",75.0,50.0,-30.7464139,121.473223
2358,Kota," """""," ""India""",30.20833333,48.4375,25.1737019,75.8574194
2359,Muradabad," ""Uttar Pradesh"""," ""India""",37.5,43.75,21.023621,76.57793453010419
2360,Dimitrovgrad," ""Haskovo Province"""," ""Bulgaria""",12.5,50.0,54.2188995,49.6038982
2361,Amol," ""Mazandaran Province"""," ""Iran""",100.0,75.0,25.523847699999997,77.95809885405612
2362,Fayetteville," ""North Carolina"""," ""United States of America""",77.08333333,66.66666667,36.0625843,-94.1574328
2363,Velika Gorica," ""Zagreb County"""," ""Croatia""",25.0,50.0,45.7155672,16.0717164
2364,Schenectady," ""New York"""," ""United States of America""",50.0,50.0,42.8142432,-73.9395687
2365,Albury," ""New South Wales"""," ""Australia""",95.0,8.333333333,-36.0737734,146.9135265
2366,Heze," ""Shandong"""," ""People's Republic of China""",0.0,50.0,35.2477266,115.4464761
2367,Maracay," ""Aragua"""," ""Venezuela""",25.0,100.0,10.2375144,-67.5890216
2368,Vila Velha," ""Espirito Santo"""," ""Brazil""",33.33333333,41.66666667,-20.3297037,-40.2920174
2369,Quetzaltenango," ""Quetzaltenango Department"""," ""Guatemala""",29.16666667,75.0,14.7360257,-91.6152074
2370,Newport News," ""Virginia"""," ""United States of America""",66.66666667,62.5,37.0914429,-76.5213892
2371,Popayan," ""Cauca Department"""," ""Colombia""",100.0,25.0,2.4422295,-76.6072368
2372,Salto," ""Salto Department"""," ""Uruguay""",100.0,25.0,-31.3571565,-57.004446
2373,Lienz," ""Tyrol"""," ""Austria""",100.0,50.0,46.8298662,12.7681269
2374,Cuprija," ""Pomoravlje District"""," ""Serbia""",59.375,65.625,43.932718550000004,21.373138618560603
2375,Qena," ""Qena Governorate"""," ""Egypt""",50.0,25.0,26.01055795,33.12992108817383
2376,Inuvik," ""Northwest Territories"""," ""Canada""",87.5,50.0,73.6585432,-118.4410095
2377,Batna," ""Batna Province"""," ""Algeria""",100.0,25.0,35.3384291,5.731545299000572
2378,Holland," ""Indiana"""," ""United States of America""",75.0,75.0,52.2434979,5.6343227
2379,Launceston," ""Tasmania"""," ""Australia""",68.75,50.0,-41.4340813,147.1373496
2380,Caslav," """""," ""Czech Republic""",100.0,0.0,49.9109171,15.3913205
2381,Shuangyashan," ""Heilongjiang"""," ""People's Republic of China""",12.5,50.0,46.6738195,131.1331152
2382,Adelanto," ""California"""," ""United States of America""",50.0,50.0,34.5827699,-117.409215
2383,Wuhu," ""Anhui"""," ""People's Republic of China""",0.0,50.0,31.1800568,118.2141777
2384,Huainan," ""Anhui"""," ""People's Republic of China""",0.0,50.0,32.5866826,117.0130019
2385,Anqing," ""Anhui"""," ""People's Republic of China""",0.0,50.0,30.6592336,116.6302585
2386,Fuyang," ""Anhui"""," ""People's Republic of China""",0.0,50.0,32.8926763,115.8090001
2387,Lu'an," ""Anhui"""," ""People's Republic of China""",0.0,50.0,31.7383487,116.5142252
2388,Bozhou," ""Anhui"""," ""People's Republic of China""",0.0,50.0,33.8579594,115.772453
2389,Xuancheng," ""Anhui"""," ""People's Republic of China""",0.0,50.0,30.9412541,118.7540167
2390,Ganzhou," ""Jiangxi"""," ""People's Republic of China""",0.0,50.0,25.703866,115.348216
2391,Fuzhou," ""Jiangxi"""," ""People's Republic of China""",50.0,25.0,27.9511188,116.3530413
2392,Shangrao," ""Jiangxi"""," ""People's Republic of China""",0.0,50.0,28.7435852,117.40539
2393,Goldsboro," ""North Carolina"""," ""United States of America""",60.0,100.0,35.3848841,-77.9927651
2394,Chester," ""Pennsylvania"""," ""United States of America""",87.5,50.0,53.1908873,-2.8908955
2395,Medicine Hat," ""Alberta"""," ""Canada""",87.5,34.375,50.04303,-110.679016
2396,Jindrichuv Hradec," """""," ""Czech Republic""",100.0,25.0,49.1443265,15.003354
2397,Athlone," ""Leinster"""," ""Ireland""",80.0,25.0,53.4228434,-7.9425897
